id,default,loan_amount,mortgage_amount,property_value,loan_reason,occupation,occupation_length,derogatory_reports,late_payments,oldest_credit_line,recent_credit,credit_number,ratio
16537,0,20900,58299,78684,DebtCon,,3,0,0,98.66282045,0,16,38.97200388
14800,0,17400,56111,114521,HomeImp,Office,2,,2,154.8555239,1,24,38.69508356
11317,0,8700,57254,86883,HomeImp,Other,16,0,0,172.1665627,0,28,25.04343675
13023,0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.5666667,0,32,
11652,0,9700,75566,92066,DebtCon,Office,14,0,0,94.98792219,0,8,25.16118347
16376,1,35000,227000,316000,HomeImp,ProfExe,3,0,0,160.2666667,1,25,
12313,0,24800,,63753,DebtCon,Other,,0,0,300.7572856,0,19,40.13447676
16386,1,15000,40772,62025,HomeImp,Other,,0,1,120.6,2,19,
11816,1,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
11777,1,16800,69284,,DebtCon,Office,21,0,0,190.6933137,1,20,35.89402586
14572,0,17600,56090,103992,HomeImp,Other,1,0,2,46.87513575,1,10,39.08182644
12369,1,10000,49000,70000,HomeImp,Other,,0,3,190.7333333,1,12,
16334,0,15300,24025,42722,,Office,2,0,0,207.962141,0,15,37.1228372
12433,0,12000,87000,113850,DebtCon,Office,11,0,0,216.1333333,0,12,
12399,0,47600,,86652,HomeImp,Office,7,0,0,304.0581023,0,13,31.57129492
12657,0,15000,,94000,,Other,,0,0,186.7,1,10,
12007,0,21400,88147,115000,DebtCon,Self,3,0,0,213.2333333,2,27,
14345,0,27800,142356,177328,DebtCon,ProfExe,6,0,0,315.1755675,0,35,38.59599092
11854,1,8400,48032,95213,HomeImp,Office,5,1,4,326.6795905,0,30,38.19168174
12020,0,20000,46775,70236,DebtCon,ProfExe,9,0,0,179.0823743,1,41,40.43069541
11395,0,32900,232792,293949,DebtCon,ProfExe,13,0,1,275.6958052,1,26,27.87825784
13490,0,23300,103162,135013,DebtCon,Mgr,9,1,0,188.9398399,5,18,40.67081708
14733,0,28900,89945,124453,DebtCon,Other,2,0,0,194.9102495,2,25,42.71977457
12774,0,18600,20915,40098,,Office,2,0,0,213.4505369,0,16,40.25003373
15458,0,25000,71700,122500,DebtCon,Office,0,0,0,303.4,1,24,
16777,0,21000,86545,118000,HomeImp,Mgr,9.9,0,0,121.7666667,2,24,
11915,0,19900,90966,154351,HomeImp,ProfExe,4,0,0,103.9754422,0,17,35.40591994
13164,0,12600,100590,138649,HomeImp,ProfExe,14,0,0,138.1647046,4,22,34.5987274
15012,1,27900,90694,121543,DebtCon,Mgr,5,2,1,107.0462506,8,15,0.838117525
11619,1,38700,,60000,DebtCon,Other,0,0,0,235.3666667,1,15,
14550,0,10800,,49495,HomeImp,Mgr,5,,,141.1652982,,8,21.07999894
16282,0,20600,67086,108006,DebtCon,Office,6,,1,116.3286575,2,18,36.96632523
12061,1,15000,399550,,HomeImp,Mgr,0.9,0,0,138.1666667,1,18,
11393,0,19400,39334,103578,HomeImp,Other,6,0,0,127.5305161,0,15,31.36762718
14131,1,6800,,27410,HomeImp,Mgr,6,1,0,2.033333333,1,5,
13029,0,16500,48674,73720,DebtCon,ProfExe,17,0,0,186.4730715,0,23,38.37360781
16857,0,11300,114392,214523,HomeImp,ProfExe,2,0,0,132.0976599,1,15,26.25183034
13578,0,9700,53527,58605,DebtCon,Office,4,0,0,75.58454258,3,12,36.70953891
13027,0,30500,108736,147531,DebtCon,Other,13,0,0,228.6103591,1,40,43.12276156
11345,0,16400,119879,128546,DebtCon,,16,0,0,182.9973812,0,17,40.85088684
11364,0,11100,,,,,,,,,,,26.23245922
16535,1,16300,79087,102921,DebtCon,Sales,23,0,0,256.2530843,0,45,36.98708569
16333,0,8500,50031,57276,DebtCon,Office,0,0,0,171.2128147,0,21,35.15870257
16396,0,9200,71994,95525,DebtCon,Other,16,,,126.8164392,3,16,25.62193049
12533,0,35800,207312,271738,DebtCon,ProfExe,4,0,0,228.8020074,0,32,32.68199935
12747,0,7700,70451,81862,DebtCon,Sales,3,0,0,141.2686711,0,31,31.68194302
14104,0,13200,59422,88308,HomeImp,Other,,0,0,294.7820846,0,19,29.95255446
11946,0,26600,78491,121598,DebtCon,Other,4,1,0,84.58301005,1,33,41.34234309
13160,0,12400,137927,160566,HomeImp,ProfExe,6,0,1,436.7517799,0,42,29.27255681
14308,0,10000,75976,91000,DebtCon,Other,10.5,0,0,171.4666667,5,22,
11402,0,6000,43000,57460,HomeImp,Other,1.6,1,,101.5,,13,
15616,0,21800,80092,98561,DebtCon,Mgr,5,0,0,73.31793012,7,24,37.13828397
14443,0,12900,88304,122178,DebtCon,Office,10,0,0,223.4548548,0,12,41.42995887
11971,0,20900,39244,55582,HomeImp,Self,5,1,,120.2198845,,10,26.22575883
12408,0,8700,76510,108130,DebtCon,Office,2,0,0,252.8439282,1,37,17.41485961
11563,0,10500,74000,89000,DebtCon,Mgr,6,0,0,138.0333333,2,27,
15432,0,20100,84965,110676,DebtCon,Mgr,18,0,0,244.02973,5,30,38.62783022
14928,0,16000,16300,128200,DebtCon,Other,10,0,0,366.2666667,1,10,
13441,0,23200,40905,81651,DebtCon,ProfExe,6,0,0,274.0020796,0,19,40.10944251
15568,0,7700,35100,45000,DebtCon,Office,10,0,0,206.9666667,1,23,
15699,0,25000,199000,236200,HomeImp,Other,8,0,0,133.3666667,1,42,
11341,0,20700,69810,100756,HomeImp,Other,3,0,0,213.7282918,1,13,32.87190897
14998,0,24300,55579,98320,DebtCon,ProfExe,1,0,0,187.0218108,0,26,33.47337359
12765,0,15400,73793,86176,DebtCon,Other,2,1,0,229.3693761,3,26,30.95851999
16534,0,30700,14834,64870,DebtCon,Other,1,0,0,99.70436212,1,5,36.69232406
12639,1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,
15517,0,70800,192044,292380,DebtCon,Self,10,0,0,221.6084858,2,25,30.37854757
12926,0,32300,28213,40515,DebtCon,Other,0,0,0,55.04424252,0,7,15.39687666
11218,1,7500,12115,35910,HomeImp,Office,13,3,6,234.9007508,0,24,24.66227667
14364,0,6500,,70886,,,,,,,,,23.47088075
11034,0,10000,78000,97400,HomeImp,ProfExe,1,0,0,72.03333333,1,20,
15617,0,22400,103000,132500,DebtCon,Mgr,10,2,0,187.7333333,5,18,
13966,1,18800,63836,87000,DebtCon,Other,8,2,1,110.5666667,2,33,
16002,0,18300,55584,95236,,ProfExe,10,0,0,,1,15,24.59063319
12568,0,34300,118911,168901,DebtCon,ProfExe,16,0,0,134.7340235,0,17,28.81751546
16235,1,15000,82000,130000,DebtCon,Mgr,18,0,5,122.7333333,10,19,
12332,0,13700,96597,120380,DebtCon,ProfExe,13,0,0,181.4048504,1,17,34.31543721
12672,0,14200,83231,99400,HomeImp,ProfExe,6,0,0,130.1675148,1,26,27.17296471
15721,0,11000,48538,63805,DebtCon,Other,9,0,0,88.60602346,0,22,38.0261511
14730,1,15000,54000,72865,DebtCon,Office,2.9,0,1,145.1,1,15,
13884,1,25000,68000,,DebtCon,Other,8,,1,134.7666667,3,33,
14876,0,12800,73624,103213,DebtCon,Other,10,0,0,201.6508442,0,20,19.55727283
11257,0,16500,47636,59586,DebtCon,Other,16,0,0,284.065542,0,21,29.96900633
12675,0,15000,46867,67529,DebtCon,Other,7,0,0,133.7875809,3,48,31.48646083
11272,0,32200,16232,60238,DebtCon,Other,0,0,0,116.7297455,1,5,37.99908153
15135,0,16300,105169,134992,DebtCon,Other,1,0,0,277.9929456,0,46,41.9498545
12549,1,14000,,42500,DebtCon,Other,,,,,,,
15929,0,9400,92340,125451,DebtCon,Office,7,0,0,129.1137248,1,22,36.3499746
11366,0,22700,155284,197634,DebtCon,ProfExe,15,,,103.7859943,0,24,29.54032204
15554,0,6700,66587,70710,DebtCon,ProfExe,9,1,0,43.92338263,1,24,39.73857626
14725,0,9000,50513,61190,DebtCon,Other,5,0,0,75.38855124,1,11,30.49800512
14463,0,26400,134642,182719,DebtCon,Mgr,0,,,122.4568633,,39,32.69880046
13141,0,20100,45764,79967,,,,,,,,,38.64772791
14576,0,6400,65215,74332,HomeImp,Mgr,9,,1,213.8321032,0,24,40.64461955
11531,0,15100,140193,176342,DebtCon,Mgr,11,0,0,248.1884191,0,20,30.0801582
16960,0,17800,36902,57622,HomeImp,Other,9,0,0,121.8797027,0,10,19.14211657
15138,0,19900,4641,23636,DebtCon,Other,,0,0,63.53525475,1,19,40.44237823
14445,0,17900,37265,53214,DebtCon,ProfExe,2,0,0,259.963831,0,34,39.83150056
